cod_nombram,nomb_nombram
no172,"Acta 6, Consejo Superior"
no173,"Acta 274, Consejo Superior"
no174,"Acta 035, Consejo Superior"
no175,"Resoluc C.S. 156, Consejo Superior"
no176,"Resolución 076, Junta De Gobierno"
no177,"Acuerdo 072, Consejo Superior"
no178,"Acta C.S. 67, Consejo Superior"
no179,"Acta 46, Comando De Personal De Las Fuerzas Militares "
no180,"Resoluc C.S. 082, Consejo Superior Universitario"
no181,"Acuerdo C.S. 11, Consejo Superior"
no182,"Resoluc C.D. 001, Consejo Directivo"
no183,"Resolución 3, Presidente De La Asamblea General"
no184,"Acuerdo C.S. 001, Consejo Superior Universitario"
no185,"Acuerdo C.D. 17153, Consejo Directivo"
no186,"Acuerdo 45, Sala General"
no187,"Acta 026, Honorable Consiliatura"
no188,"Acuerdo C.S. 128, Consejo"
no189,"Acuerdo 085, Consejo Directivo"
no190,"Resoluc C.D. 03, Consejo De Direccion"
no191,"Acuerdo 008, Sala General"
no192,"Acta C.D. 60, Consejo Directivo"
no193,"Acta C.S. 007, Consejo De Direccion Y Administracion"
no194,"Acta 005-22, Asamblea General"
no195,"Acta 130, Consejo Directivo"
no196,"Acta 50, Consejo Directivo"
no197,"Acta 4, Asamblea De Fundadores"
no198,"Decreto 009, Canciller De La Fundacion"
no199,"Acuerdo 01, Asamblea General"
no200,"Acta 02, Comite Directivo"
no201,"Acta 36, Consejo Superior"
no202,"Acuerdo 013, Consejo Superior Universitario"
no203,"Certificación ., Gerencia Institucional"
no204,"Acta 140, Consejo Maximo"
no205,"Resoluc C.S. 060, Consejo Superior Universitario"
no206,"Acta 93, Consejo Superior"
no207,"Acuerdo 003, Asamblea De Miembros"
no208,"Acta 010, Consejo Directivo"
no209,"Acuerdo 20, Consejo Directivo"
no210,"Acta 01, Asamblea General"
no211,"Resolución 14443, Ministerio De Educación Nacional"
no212,"Acuerdo 009, Consejo De Fundadores"
no213,"Resolución 5373, Ministerio De Defensa Nacional"
no214,"Acta 068, Comando Del Ejercito Nacional"
no215,"Acta C.S. 12/04, Consejo Superior"
no216,"Acuerdo 44, Sala General"
no217,"Acta 543, Junta"
no218,"Acuerdo C.S. 011, Consejo Superior"
